,company,job_title,salary,location,description,date
15,"

        Cromwell Group",Data Analyst (Python experience),Nothing_found,Leicester,"
            Review and analyse significant amounts of planning data. Through your excellent analytical skills you will be able to identify trends and patterns hidden within…",4 days ago
16,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
            Ensure data quality, compliance and consistency of master data across business systems. Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
17,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
            During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
18,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
            Attention to detail, ensuring accurate recording of data. We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Yorkshire Building Society Group",Data Quality Lead,"
                            £30,000 - £35,000 a year",Nothing_found,"
            Undertake Data Profiling to support data quality issue investigation. Using your experience of data management, governance and/or data quality initiatives.",Nothing_found
2,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
3,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
4,"
        Tangoe Inc.",Client Data Analyst,Nothing_found,Nothing_found,"
            You’ll be responsible for monitoring volumes of client data on their telecom invoices, ensuring all are received and loaded into our expense management tools…",Nothing_found
5,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
            Identifies data sources, collects, transforms and prepares large amounts of data for analysis. Monitors and continuously improves the data sources, usability…",Nothing_found
6,"

        Clearanswer Call Centre LTD",Data Input Clerk,"
                            £17,567 a year",Kingston upon Hull,"
            Fast and accurate data input skills. The successful candidates will be fast and accurate in inputting data and have an excellent telephone manner and be able to…",2 days ago
7,"

        The Prince's Trust",Data Protection & Legal Counsel,"
                            £40,000 - £47,000 a year",England,"
            We are looking for a data protection specialist to join our Legal Team to help us ensure that we remain complaint with data protection legislation and we…",10 days ago
8,"

        McLaren",Finance Intern,Nothing_found,Woking,"
            Customer Service and/or data entry experience is desirable. When our founder Bruce McLaren passed away at the age of 32 he left behind a legacy that has shaped…",30+ days ago
9,"

        Intouch Games",Data Analyst – Google Analytics (GA),Nothing_found,Birmingham,"
            In this position, you will work with our Data Analytics team, focusing on the implementation, set-up and analysis of Google Analytics data – including goal,…",9 months ago
10,"

        County Broadband Ltd",Data Analyst,"
                            £30,000 - £35,000 a year",Colchester,"
            Proven working experience as a data analyst or business data analyst. Extract, interrogate and analyse data from multiple sources using a mixture of existing…",14 days ago
11,"
        Re:signal",Freelance Developers,Nothing_found,Remote,"
            By filling out and sending this form, you acknowledge that your data will be recorded on Re: Are you a canny coder?",4 months ago
12,"
        Tractable",Applied Researcher,"
                            £50,000 - £80,000 a year",London,"
            We have a team of experienced researchers and engineers, the necessary resources (in-house labelling and domain experts) and a large volume of data (100M+…",26 days ago
13,"

        Skipton Building Society",Data & Analytics Governance Manager,Nothing_found,Skipton BD23,"
            Due to some exciting changes in our Data Strategy to become a more data focussed organisation we are looking for a Data and Analytics Governance Manager to join…",12 days ago
14,"

        Wincanton",Health & Safety Data Entry Clerk,Nothing_found,Lichfield WS13,"
            Analyse data to determine trends. Update existing data and records. Verify data by comparing it to source documents/systems.",5 days ago
15,"

        NHS Business Services Authority",Developer,"
                            £30,401 - £37,267 a year",United Kingdom,"
            A privacy notice is attached to advise you on how we will process your personal data. The NHS Business Services Authority (NHSBSA) is the main processing…",4 days ago
16,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
            As our data architect you will be the data champion within Moneyline. What makes a data champion?*. As our Data Architect you will be:",Nothing_found
17,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
18,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Yorkshire Building Society Group",Data Quality Lead,"
                            £30,000 - £35,000 a year",Nothing_found,"
            Undertake Data Profiling to support data quality issue investigation. Using your experience of data management, governance and/or data quality initiatives.",Nothing_found
2,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
3,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
4,"
        Tangoe Inc.",Client Data Analyst,Nothing_found,Nothing_found,"
            You’ll be responsible for monitoring volumes of client data on their telecom invoices, ensuring all are received and loaded into our expense management tools…",Nothing_found
5,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
            Identifies data sources, collects, transforms and prepares large amounts of data for analysis. Monitors and continuously improves the data sources, usability…",Nothing_found
6,"

        Schroders",2020 Product Internship Programme,Nothing_found,London,"
            Market Intelligence - This team has the aim of providing stronger data connectivity between Schroders and the market. Online application form and CV.",2 days ago
7,"
        PrimeVigilance",Pharmacovigilance (PV) Manager - Data and Database Management,Nothing_found,Guildford GU2,"
Data Quality Management – ensuring data consistency, quality and suitability for accurate and reliable periodic reports.",6 days ago
8,"

        London School of Hygiene & Tropical Medicine","Research Fellow Monitoring, Evaluation & Learning","
                            £40,011 - £45,437 a year",London,"
            Further, to collect and analyse data, including desk research of literature, collecting and digitally processing numerical data, text analysis of qualitative…",11 days ago
9,"

        KPMG","Telephony, Data Gathering Analyst",Nothing_found,Glasgow,"
            Your work will be helping our Support Analysts who need full customer data to complete their cases. As a Telephony and Data Gathering Analyst, you’ll collect…",30+ days ago
10,"

        UK Government - Food Standards Agency",Social Science Research Officer,"
                            £27,936 - £31,524 a year",London,"
            We take pride in thinking creatively about how we can use data in new ways, or use other tools, such as social media to understand people better, and in working…",3 days ago
11,"

        UK Government - Government Digital Service",Junior Content Designer,"
                            £31,339 a year",London E1,"
            Use analytics data, user feedback and user research to identify user needs. As a junior content designer you’ll: Help your team design content plans.",2 days ago
12,"
        Marshall Wolfe",Resource Coordinator,"
                            £150 - £250 a day",London,"
            An analytical mind-set who enjoys problem solving and turning data into useful actionable information. You will help streamline and coordinate the staffing…",26 days ago
13,"
        Wixroyd International Ltd",Data Inputter (Product Managers Assistant),"
                            £17,000 - £18,500 a year",Chichester,"
Data Inputter (Product Managers Assistant)*. Good data input skills / speed.]. Your responsibilities will cover a wide range of data management activities…",13 days ago
14,"

        Munich Re",Actuarial Graduate Trainee,Nothing_found,London,"
            Analyse data as needed i.e. analysing application form data to support the development of underwriting rules. Munich Re is a major global organisation with over…",4 days ago
15,"

        Mondelēz International",Pharmaceutical HPLC Method Developer,Nothing_found,Reading,"
            Perform data checking and provide interpretation of results for routine testing. Reading Scientific Services Ltd (RSSL) is a leading edge science consultancy…",10 days ago
16,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
            As our data architect you will be the data champion within Moneyline. What makes a data champion?*. As our Data Architect you will be:",Nothing_found
17,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
18,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
0,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
1,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
2,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
            Monitors and continuously improves the data sources, usability and data mining results. Identifies data sources, collects, transforms and prepares large amounts…",Nothing_found
3,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            Once you have shown a good understanding of the lead sourcing process, demonstrated sufficient ability in finding appropriate brands, you will be incorporated…",3 days ago
4,"

        Yorkshire Building Society Group",Data Manager,"
                            £45,000 a year",Nothing_found,"
            Oversee the data deficiency process; As our next Data Manager you’ll ensure that data quality management practices and approaches are fit for purpose and result…",Nothing_found
5,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
6,"
        Gampa Technologies",Data Warehouse Analyst,Nothing_found,London,"
            The Data Warehouse Analyst must be well versed in Business Intelligence reporting. The Data Warehouse Analyst will analyze and evaluate business systems and end…",6 hours ago
7,"

        PRA Health Sciences",Central Data Scientist,Nothing_found,Swansea,"
            Reviewing clinical data at aggregate level regularly throughout assigned studies using analytical reporting tools to support the identification of risks and…",30+ days ago
8,"

        Tesco",Administration Colleague and Community Champion,Nothing_found,Skipton BD23,"
            Delivering administration tasks and data entry within the people function. Customers are at the heart of everything we do. You will be responsible for.",5 days ago
9,"

        Direct Line Group",Data Architect,Nothing_found,Bromley,"
            Work closely with the data engineering team to design and implement enterprise-grade pipelines for data. We currently have a phenomenal opportunity to build,…",30+ days ago
10,"

        Honeycomb",Banking Administrator (Armagh),"
                            £9 - £10 an hour",Armagh,"
            Honeycomb is recruiting for a leading retail banking firm for a banking administrator on a 3 month temporary contract. Data input and administrative processing.",3 days ago
11,"

        The Sheffield College",Student Records Supervisor - Apprenticeships,"
                            £17,180 - £20,400 a year",Sheffield S2,"
            Working with the Student Records Managers you will be primarily responsible for the effective collection and maintenance of data relating to Apprenticeships…",3 days ago
12,"
        Lloyds UK",Actuarial Analyst,Nothing_found,London,"
            Assist in review and validation of data returns received by Lloyd's. Processing and analysing the data required for MRC reserving and capital review exercises.",12 days ago
13,"
        Grayce",Data Analyst,Nothing_found,Liverpool,"
            Do you have experience in Data Analysis and financial services, but aren’t sure what your next career move is? We believe in the power of new talent.",8 months ago
14,"

        IQVIA","Healthcare Data Scientist, Predictive Analytics (RWAS)",Nothing_found,London,"
            Knowledge of healthcare patient-level data. Experience with patient-level, longitudinal data. Working closely with data engineers, data scientists and…",8 months ago
15,"

        MUFG",IDM - Reference Data Analyst - Assistant Vice President,Nothing_found,London,"
            Develop a data governance framework and establish data related policies and procedures to improve the value of data as an enterprise asset.",1 hour ago
16,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
17,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
            Ensure data quality, compliance and consistency of master data across business systems. Work with business units and process experts to resolve master data…",3 days ago
18,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
            During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
0,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
1,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
2,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
3,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
            Ensure data quality, compliance and consistency of master data across business systems. Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
4,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
5,"

        Everbridge",Intelligence Analyst,Nothing_found,Nothing_found,"
            During public safety threats such as active shooter situations, terrorist attacks or severe weather conditions, as well as critical business events such as IT…",Nothing_found
6,"

        JLL",Senior Data Analyst,Nothing_found,London,"
            Senior Data…",30+ days ago
7,"
        Lawrence Harvey",Workday Reporting and Data Analyst,"
                            £600 - £700 a day",England,"
            HR Data analytics experience is essential. One of our clients is looking for a Workday Reporting/ Data Analyst to join their team on an initial 6 month contract…",30+ days ago
8,"

        Public Health Wales NHS Trust",Biomedical Scientist,"
                            £24,907 - £30,615 a year",Cardiff CF14,"
            The successful candidate duties will include preparing, checking and processing of samples as well as data entry into the laboratory information system.",4 days ago
9,"

        Financial Times",Data Scientist (9 month FTC),Nothing_found,London,"
            This Data Scientist role is an opportunity to develop your data science career and solve challenging problems. What will I be responsible for?",4 months ago
10,"
        Auxillium",Data Scientist,"
                            £50,000 - £80,000 a year",London,"
            Our client is looking for a Data Scientist with a proven track record in Data Science or big data projects to join their team. Skills of the Data Scientist.",12 months ago
11,"

        Civica",Data Protection Specialist,Nothing_found,Leeds,"
            We are looking to recruit a Data Protection Specialist to join our Data Protection Team based in Leeds City Centre.",30 days ago
12,"

        Next PLC",Data Scientist,Nothing_found,Enderby,"
            Interrogate large volumes of data from a range of sources, including transactional, demographic and online, to collect data for modelling.",6 months ago
13,"

        Ampersand Consulting","Workday Data Analyst (SQL, EiB, HR Data Migration)","
                            £400 - £550 a day",London,"
            Key responsibilities for the Workday Data Analyst (SQL, EiB, HR Data Migration). Key experience for the Workday Data Analyst (SQL, EiB, HR Data Migration).",10 months ago
14,"

        Lloyds Banking Group",Grade E,"
                            £58,626 - £65,140 a year",London,"
            Responsible for contributing towards the development of surveillance procedures related to Quality Assurance and data. Key process and change accountabilities.",7 days ago
15,"
        Kubrick Group",Data Transformation Evangelist,Nothing_found,Nothing_found,"
            Training and developing the next generation of Kubrick Data Specialists. Many years of solid experience in data transformation roles (specified above).",Nothing_found
16,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
            Attention to detail, ensuring accurate recording of data. We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
17,"
        causaLens",Data Scientist,"
                            £35,000 - £90,000 a year",Nothing_found,"
            We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series.",Nothing_found
0,"

        Yorkshire Building Society Group",Data Quality Lead,"
                            £30,000 - £35,000 a year",Nothing_found,"
 Undertake Data Profiling to support data quality issue investigation.Using your experience of data management, governance and/or data quality initiatives.",Nothing_found
1,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
2,"
        Tangoe Inc.",Client Data Analyst,Nothing_found,Nothing_found,"
 You’ll be responsible for monitoring volumes of client data on their telecom invoices, ensuring all are received and loaded into our expense management tools…",Nothing_found
3,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
 Identifies data sources, collects, transforms and prepares large amounts of data for analysis.Monitors and continuously improves the data sources, usability…",Nothing_found
4,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
5,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
6,"

        BDO",SSC Data Analytics Associate,Nothing_found,Liverpool,"
 Supervise a team of Data Analytics Assistants.The firm is looking to recruit a Data Analytics Delivery Associate to join the Data Analytics Hub based in…",30+ days ago
7,"
        BCE Apprenticeships",Event Assistant CGI Music,"
                            £147 a week",United Kingdom,"
 CGI Music is a music and events business, with programming and artist delivery of festivals very much at the forefront..",30+ days ago
8,"

        Mintel",Data Entry with Mandarin,Nothing_found,London,"
 We are looking for someone with the ability to translate information from Mandarin into English, to assist in the production of our very successful product,…",3 hours ago
9,"

        Blue Arrow",Data Entry Administrators,"
                            £8.21 an hour",Darlington DL3,"
 Key responsibilities will be to identify information from manual records and enter the data on Excel spreadsheets.",2 days ago
10,"

        Merthyr Tydfil County Borough Council",Statutory Compliance Inspector,Nothing_found,Merthyr Tydfil,"
 All employees are required to comply with their individual and organisational responsibilities under the Data Protection Act, the Information Security Policy…",2 hours ago
11,"

        Mott MacDonald",2020 UK Degree Level Apprenticeship Scheme,Nothing_found,United Kingdom,"
 Then put your talents to use to collect, analyse and manipulate geographical data with GIS technology.Our GIS Practice is growing globally, and joining this…",10 days ago
12,"
        C&O Tractors",Workshop Administrator,Nothing_found,Wilton,"
 This role is full time over a 40 hour week, however, we may be willing to consider a condensed working week of 30 hours (9am - 3pm for example) to fit around…",5 hours ago
13,"

        Places for People",Asset Data Analyst,"
                            £27,000 a year",Preston PR5,"
 Experience working in a Housing Management role or Data Management role would be beneficial.We are currently recruiting for an Asset Data Analyst to support…",11 days ago
14,"
        Frankonia The Breadhouse",Bakery Picker/ Packer,"
                            £9 an hour",Surbiton KT6,"
 Picker/Packer required for busy wholesale bakery.Slicing bread, picking and packing artisan breads and pastries for our customers.",3 hours ago
15,"

        Clarivate Analytics",Data Support Analyst,Nothing_found,London SE1,"
 Analyzes data retrieved and selects most relevant and pertinent data for our clients.Resources to find relevant data for clients.",10 days ago
16,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
 As our data architect you will be the data champion within Moneyline.What makes a data champion?*.As our Data Architect you will be:",Nothing_found
17,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
18,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
0,"

        Yorkshire Building Society Group",Data Quality Lead,"
                            £30,000 - £35,000 a year",Nothing_found,"
            Undertake Data Profiling to support data quality issue investigation. Using your experience of data management, governance and/or data quality initiatives.",Nothing_found
1,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
2,"
        Tangoe Inc.",Client Data Analyst,Nothing_found,Nothing_found,"
            You’ll be responsible for monitoring volumes of client data on their telecom invoices, ensuring all are received and loaded into our expense management tools…",Nothing_found
3,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
            Identifies data sources, collects, transforms and prepares large amounts of data for analysis. Monitors and continuously improves the data sources, usability…",Nothing_found
4,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
5,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
6,"

        Hampshire County Council",Coroners Officer HCC16519,"
                            £25,833 - £28,791 a year",Portsmouth,"
            Input, retrieve and present data using a computer in accordance with HCC and legislative requirements. Temporary (1 year maternity cover).",9 days ago
7,"

        Civica",Data Protection Specialist,Nothing_found,Leeds,"
            We are looking to recruit a Data Protection Specialist to join our Data Protection Team based in Leeds City Centre.",30 days ago
8,"

        SOCOTEC UK Limited",Geologist,Nothing_found,Southam CV47,"
            Computer literate with knowledge of HoleBASE SI and AGS 4 data. This is an exciting opportunity for a Geologist to join an enthusiastic team delivering Ground…",2 days ago
9,"
        The National Lottery Heritage Fund",Head of Data and Insight,"
                            £45,000 - £53,500 a year",London,"
            You will represent National Lottery Heritage Fund externally as our specialist on data, insight and evaluation. Job Details - Heritage Lottery Fund.",2 days ago
10,"

        Securitas",FOH Ambassador(Security),"
                            £14.48 an hour",London WC1B,"
            £14.48 to £14.48 per hour. Thu 26th, Sep 2019 until Thu 31st, Oct 2019. The role of a FOH Ambassador(Security) can be challenging, especially when working with…",5 months ago
11,"

        Kettering General Hospital NHS Foundation Trust",Clerical Officer,Nothing_found,Kettering,"
            Applications will be transferred to TRAC system, by completing an application your are giving authorisation for the transfer of your data.",4 days ago
12,"
        Mission Without Borders International",IT Support Analyst (fixed term),"
                            £28,000 - £32,000 a year",Home Based,"
            Investigation and correction of data stored in databases, and the subsequent documentation. An individual who can provide IT support and technical assistance to…",1 hour ago
13,"
        Hammersmith Medicines Research",Trainee Data Manager,"
                            £24,700 a year",North West London,"
            Graduate Trainee Clinical Data Manager: We are seeking a Graduate Trainee Data Manager to join our friendly team managing data from clinical trials of potential…",6 days ago
14,"
        Cievert",Data Scientist,Nothing_found,United Kingdom,"
            Our data science department is investigating the clinical data which our products generate, deriving insight which can help: A generous approach to holidays.",30+ days ago
15,"

        Tesco",Administration Colleague,Nothing_found,West Bromwich B70,"
            Delivering administration tasks and data entry within the people function. Customers are at the heart of everything we do. You will be responsible for.",10 days ago
16,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
            As our data architect you will be the data champion within Moneyline. What makes a data champion?*. As our Data Architect you will be:",Nothing_found
17,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
18,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
0,"
        Tangoe Inc.",Client Data Analyst,Nothing_found,Nothing_found,"
            You’ll be responsible for monitoring volumes of client data on their telecom invoices, ensuring all are received and loaded into our expense management tools…",Nothing_found
1,"

        Yorkshire Building Society Group",Data Quality Lead,"
                            £30,000 - £35,000 a year",Nothing_found,"
            Undertake Data Profiling to support data quality issue investigation. Using your experience of data management, governance and/or data quality initiatives.",Nothing_found
2,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
3,"

        Yorkshire Building Society Group",Data Manager,"
                            £45,000 a year",Nothing_found,"
            Oversee the data deficiency process; As our next Data Manager you’ll ensure that data quality management practices and approaches are fit for purpose and result…",Nothing_found
4,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
            Identifies data sources, collects, transforms and prepares large amounts of data for analysis. Monitors and continuously improves the data sources, usability…",Nothing_found
5,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
6,"

        CAPCO",LIBOR Data Analyst,Nothing_found,London,"
            Identify system owners, source data and integrate feeds into the central IBOR data repository. Implement processes and procedures to keep all key data sources…",18 days ago
7,"
        New Appointments Group",Data Entry,"
                            £9 an hour",Deal,"
            The information you will be entering will include stock data and product pricing, so you will be required to enter both alphabetical and numerical data.",5 months ago
8,"
        Castlefield Recruitment",Data Protection Assistant,"
                            £19 - £20 an hour",Merseyside,"
            The Client – Data Protection Assistant: The Role – Data Protection Assistant: The Person – Data Protection Assistant:",11 days ago
9,"

        University of Bath",Business Intelligence & Data Manager,"
                            £41,000 a year",Bath,"
            Are you passionate about Business Intelligence and data? These include data sourcing, acquisition, integration, warehousing, exploration and delivery, as well…",2 days ago
10,"

        Sony Europe BV, United Kingdom",Legal Administrator,Nothing_found,Weybridge,"
            Tracking and logging Data Transfer Agreements. Ensuring that the records of Data Processing is up to date. We look for the risk-takers , the collaborators , the…",30+ days ago
11,"

        CAPCO",Data Audit BA/PM- Chief Data Office,Nothing_found,London,"
            Capco is looking for an experienced Data Audit BA/PM- Chief Data Office to assist us on what will initially be a 6-month long contract assignment.",4 hours ago
12,"

        The University of Manchester",Management Information Analyst,"
                            £32,816 - £40,322 a year",Manchester,"
            Are you passionate about analytics and the potential for data analysis to affect real change? Are you enthusiastic about turning data into information, a change…",30+ days ago
13,"

        University of Aberdeen",Chair in Health Data Science,"
                            £60,905 a year",Aberdeen,"
            Chair in Health Data Science. Professor Corri Black, Director of the Aberdeen Centre for Health Data Sciences. Institute of Applied Health Sciences.",13 days ago
14,"

        Revolut",Head of Data Science,Nothing_found,London,"
            As Head of Data Science for Revolut your mission will be to define the direction, structure, processes and standards for Data Science across the company, so…",30+ days ago
15,"

        Babcock",Data Analyst,Nothing_found,Aldershot GU11,"
            Supporting the productive teams by providing data requests as required. Here at Babcock International we’re looking to recruit a Data Analyst to be responsible…",5 days ago
16,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
            As our data architect you will be the data champion within Moneyline. What makes a data champion?*. As our Data Architect you will be:",Nothing_found
17,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
18,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
0,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
1,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
 Identifies data sources, collects, transforms and prepares large amounts of data for analysis.Monitors and continuously improves the data sources, usability…",Nothing_found
2,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
3,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
4,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
5,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
 Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
6,"

        Cornwall Council",Information Assistant,"
                            £17,364 - £18,797 a year",Cornwall,"
 You must have strong computer skills and confidence to be able to search for information and record data accurately.About the role & About us.",19 days ago
